SS,246,0.100,22.3325000000,-4.5344000000,17.100,KATI 2
SS,247,0.100,20.0252000000,-5.2327000000,15.930,KATI 2
SS,248,1.300,28.5625000000,-0.5944000000,14.520,KATI 2
SS,249,1.300,33.1235000000,-0.5136000000,16.560,KATI 2
SS,250,1.300,34.1806000000,-0.5931000000,16.320,KATI 2
SS,251,1.300,48.2550000000,-0.3417000000,26.190,KATI 2
SS,252,1.300,84.2432000000,-0.3517000000,24.740,KATI 2
SS,KOL-BAS-20,0.100,257.0008000000,-2.5645000000,129.690,
SS,KOL-BAS-21,0.100,271.4048000000,-2.4542000000,141.630,
SS,KOL-BAS-22,0.100,285.4202000000,-2.1530000000,176.080,
SS,KOL-BAS-23,0.100,294.2944000000,-2.5808000000,159.750,
RS,BASKIA5,0.100,309.5806000000,-16.0117000000,41.670,
RS,KOL-BAS1,0.100,213.1158000000,-17.4737000000,33.600,
RS,KOLBASKIA3,0.100,185.4439000000,-7.0632000000,92.780,
BKB,BASKIA5,0.100,309.5816219139,,,
SS,253,1.350,100.5204000000,-0.2951000000,28.900,KATI 3
SS,254,1.350,69.1039000000,-0.2916000000,28.880,KATI 3
SS,255,1.350,59.4007000000,-0.4928000000,18.430,KATI 3
SS,256,1.350,60.4354000000,-0.5014000000,18.280,KATI 3
SS,257,1.350,57.3015000000,-1.0114000000,16.220,KATI 3
SS,258,1.350,48.1901000000,-0.5537000000,16.810,KATI 3
SS,259,1.350,49.4723000000,-0.5028000000,18.180,KATI 3
SS,260,1.350,24.0540000000,-0.3403000000,23.760,KATI 3
SS,261,1.350,0.3254000000,-0.3717000000,22.060,KATI 3
SS,262,1.350,335.0239000000,-0.3918000000,20.260,KATI 3
SS,263,1.350,162.4057000000,-1.4614000000,8.090,KATI 3
RS,BASKIA5,0.100,181.4025000000,-20.0340000000,41.970,
RS,KOL-BAS1,0.100,85.0648000000,-21.4925000000,35.400,
RS,KOLBASKIA3,0.100,58.3317000000,-8.4717000000,94.190,
BKB,BASKIA5,0.100,181.4032118587,,,
SS,264,0.100,336.0059000000,-2.4815000000,28.670,KATI 4
SS,265,1.350,303.5433000000,-0.2657000000,28.520,KATI 4
SS,266,1.350,295.2236000000,-0.4144000000,17.930,KATI 4
SS,267,1.350,296.3035000000,-0.4053000000,17.780,KATI 4
SS,268,1.350,293.2829000000,-0.5142000000,15.670,KATI 4
SS,269,1.350,283.5618000000,-0.4341000000,16.140,KATI 4
SS,270,1.350,285.1501000000,-0.4556000000,17.570,KATI 4
SS,271,1.350,251.1613000000,-0.2813000000,25.690,KATI 4
SS,272,1.350,206.3251000000,-0.4212000000,19.350,KATI 4
SS,273,1.350,37.3407000000,-1.2321000000,9.080,KATI 4
RS,BASKIA5,0.100,23.3124000000,-22.1130000000,45.900,
RS,KOL-BAS1,0.100,288.5157000000,-28.0156000000,34.270,
RS,KOLBASKIA3,0.700,257.5540000000,-10.3532000000,90.980,
BKB,BASKIA5,0.100,23.3131250496,,,
SS,274,1.350,47.2504000000,-0.4136000000,23.130,KATI 5
SS,275,1.350,86.0058000000,-0.2854000000,29.070,KATI 5
SS,276,1.350,113.3200000000,-0.4507000000,19.510,KATI 5
SS,277,1.350,111.3734000000,-0.4423000000,18.210,KATI 5
SS,278,1.350,119.3631000000,-0.5034000000,17.190,KATI 5
SS,279,1.350,123.4807000000,-0.5023000000,19.060,KATI 5
SS,280,1.350,122.4445000000,-0.4112000000,19.300,KATI 5
