LS2,7511938.497,4692470.865,620.803,,620.803,1969-12-31,16:00:00,0.000
LS3,7512037.887,4692521.069,624.005,,624.005,1969-12-31,16:00:00,0.000
LLC-K8-FS1,7511933.807,4692407.468,645.426,,645.426,2022-02-23,11:47:50,
LSTA1,7511942.367,4692437.791,620.942,,620.942,2022-02-23,11:49:04,
LSTA2,7511938.490,4692470.864,620.811,,620.811,2022-02-23,11:50:12,
LSTA3,7512037.911,4692521.079,624.007,,624.007,2022-02-23,11:52:40,
LLC-K8-FS2,7511896.568,4692389.453,645.435,,645.435,2022-02-23,12:11:51,
VSTA1,7511942.366,4692437.790,620.942,,620.942,2022-02-23,12:12:17,
VSTA2,7511938.492,4692470.864,620.810,,620.810,2022-02-23,12:17:05,
VSTA3,7512037.911,4692521.079,624.007,,624.007,2022-02-23,12:19:24,
BRR1,7511942.367,4692437.791,620.942,,620.942,1969-12-31,16:00:00,0.000
BRR2,7511938.491,4692470.864,620.811,,620.811,1969-12-31,16:00:00,0.000
BRR3,7512037.911,4692521.079,624.007,,624.007,1969-12-31,16:00:00,0.000
LLC-K8-FS3,7511896.575,4692389.447,645.435,,645.435,2022-02-23,12:34:42,
LLC-K8-P1,7511902.049,4692374.446,645.469,,645.469,2022-02-23,12:57:59,
LLC-K8-P2,7511904.327,4692372.829,645.474,,645.474,2022-02-23,12:58:17,
LLC-K8-P3,7511921.614,4692379.470,645.469,,645.469,2022-02-23,13:00:09,
LLD-K9-FS1,7511914.104,4692397.910,648.330,,648.330,2022-03-01,10:21:35,
LLC-K9-FS1,7511932.537,4692406.820,648.336,,648.336,2022-03-16,09:41:56,
LLC-K10-FS1,7511932.781,4692406.539,651.222,,651.222,2022-03-26,09:47:18,
LLE-K4-FS1,7511889.351,4692384.488,633.774,,633.774,2022-05-18,16:39:01,
LLE-K4-FS3,7511891.297,4692386.355,633.787,,633.787,2022-05-25,12:40:56,
LLE-K4-FS4,7511882.953,4692382.705,633.733,,633.733,2022-05-27,10:51:16,
